AutoID,Student_Number,ITR,Serial,Make,Part_Number,Group,Status,Checked_in,Check_out
,,35962,5CD9092RLQ,HP,11A G6,ZU,1,,
,,35963,5CD9092R5F,HP,11A G6,ZU,1,,
,,35964,5CD9092RWQ,HP,11A G6,ZU,1,,
,,35965,5CD9092R7X,HP,11A G6,ZU,1,,
,,35966,5CD9092RJV,HP,11A G6,ZU,1,,
,,35967,5CD9092R9L,HP,11A G6,ZU,1,,
,,35968,5CD9092R9C,HP,11A G6,ZU,1,,
,,35969,5CD9092RLJ,HP,11A G6,ZU,1,,
,,35971,5CD9092R3X,HP,11A G6,ZU,1,,
,,35973,5CD9092T68,HP,11A G6,ZU,1,,
,,35974,5CD9092QVR,HP,11A G6,ZU,1,,
,,35975,5CD9092RKL,HP,11A G6,ZU,1,,
,,35978,5CD9093FHH,HP,11A G6,ZU,1,,
,,35979,5CD9092TBR,HP,11A G6,ZU,1,,
,,35980,5CD9092RFK,HP,11A G6,ZU,1,,
,,35981,5CD9092RL0,HP,11A G6,ZU,1,,
,,35984,5CD9092T1Z,HP,11A G6,ZU,1,,
,,35985,5CD9092RDQ,HP,11A G6,ZU,1,,
,,35989,5CD9092QX7,HP,11A G6,ZU,1,,
,,35997,5CD9092R2S,HP,11A G6,ZU,1,,
,,35998,5CD9092RFL,HP,11A G6,ZU,1,,
,,35999,5CD9092RW8,HP,11A G6,ZU,1,,
,,36011,5CD9092RC5,HP,11A G6,ZU,1,,
,,36017,5CD9092R7F,HP,11A G6,ZU,1,,
,,36018,5CD9092S9H,HP,11A G6,ZU,1,,
,,36019,5CD9092RFC,HP,11A G6,ZU,1,,
,,36025,5CD9092R4P,HP,11A G6,ZU,1,,
,,36026,5CD9092RM9,HP,11A G6,ZU,1,,
,,36027,5CD9092RLS,HP,11A G6,ZU,1,,
,,36031,5CD9092RB8,HP,11A G6,ZU,1,,
,,36035,5CD9092RFB,HP,11A G6,ZU,1,,
,,36039,5CD9092RRV,HP,11A G6,ZU,1,,
,,36040,5CD9092S64,HP,11A G6,ZU,1,,
,,36071,5CD9095P5K,HP,11A G6,ZU,1,,
,,36072,5CD9095P5J,HP,11A G6,ZU,1,,
,,36881,5CD91717X0,HP,11A G6 v20,ZU,1,,
,,36890,5CD9170LJ0,HP,11A G6 v20,ZU,1,,
,,36897,5CD9170M19,HP,11A G6 v20,ZU,1,,
,,36898,5CD918083D,HP,11A G6 v20,ZU,1,,
,,36899,5CD9170L08,HP,11A G6 v20,ZU,1,,
,,36900,5CD9170KP0,HP,11A G6 v20,ZU,1,,
,,36901,5CD917174D,HP,11A G6 v20,ZU,1,,
,,36902,5CD91718HY,HP,11A G6 v20,ZU,1,,
,,36903,5CD9170L3K,HP,11A G6 v20,ZU,1,,
,,36905,5CD91718GV,HP,11A G6 v20,ZU,1,,
,,36910,5CD917194B,HP,11A G6 v20,ZU,1,,
,,36911,5CD9170M5J,HP,11A G6 v20,ZU,1,,
,,36912,5CD9171BP8,HP,11A G6 v20,ZU,1,,
,,36913,5CD91716X5,HP,11A G6 v20,ZU,1,,
,,36914,5CD91718BC,HP,11A G6 v20,ZU,1,,
,,36915,5CD9170L55,HP,11A G6 v20,ZU,1,,
,,36916,5CD9170KYJ,HP,11A G6 v20,ZU,1,,
,,36918,5CD91716XT,HP,11A G6 v20,ZU,1,,
,,36919,5CD91718SN,HP,11A G6 v20,ZU,1,,
,,36920,5CD91716YY,HP,11A G6 v20,ZU,1,,
,,36981,5CD9171731,HP,11A G6 v20,ZU,1,,
,,36982,5CD917181J,HP,11A G6 v20,ZU,1,,
,,36983,5CD9171BLX,HP,11A G6 v20,ZU,1,,
,,36984,5CD91718SW,HP,11A G6 v20,ZU,1,,
,,36986,5CD91717V9,HP,11A G6 v20,ZU,1,,
,,36987,5CD9170M5Q,HP,11A G6 v20,ZU,1,,
,,36988,5CD91719H1,HP,11A G6 v20,ZU,1,,
,,36989,5CD9171947,HP,11A G6 v20,ZU,1,,
,,36443,5CD91717HQ,HP,11A G6 v20,ZU,1,,
,,400184,5CD9413J9Y,HP,11A G6,ZU,1,,
,,400705,P2098G36,Lenovo,100e 2nd Gen,ZU,1,,
,,400716,P2098N2R,Lenovo,100e 2nd Gen,ZU,1,,
,,400770,P2098MDB,Lenovo,100e 2nd Gen,ZU,1,,
,,400785,P2098MLF,Lenovo,100e 2nd Gen,ZU,1,,
,,400790,P2098G8L,Lenovo,100e 2nd Gen,ZU,1,,
,,402421,PF2WG8K6,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402422,PF2WFT0W,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402423,PF2WG618,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402424,PF2WFR7X,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402425,PF2WG2RW,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402426,PF2WGF0G,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402427,PF2WFR6V,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402428,PF2WFRA5,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402429,PF2W36WV,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402430,PF2WGNKD,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402431,PF2W3FXH,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402432,PF2W3AZ6,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402433,PF2WH4PP,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402434,PF2W3CZ5,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402435,PF2W3G1Q,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402436,PF2WG2TB,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402437,PF2WGDGH,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402438,PF2WFP2S,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402439,PF2WGKRF,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402440,PF2WFP42,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402441,PF2W36YT,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402442,PF2WFR8H,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402443,PF2WG8DX,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402444,PF2W3G09,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402445,PF2WGF1H,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402446,PF2WGDD5,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402447,PF2WG5ZM,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402448,PF2WGZJX,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402449,PF2WGNVP,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402450,PF2WGNJF,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402451,PF2WGZJD,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402452,PF2WG4A4,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402453,PF2WG871,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402454,PF2WG89G,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402455,PF2WFZR4,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402456,PF2WGKR9,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402457,PF2WGNHY,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402458,PF2WH3V8,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402459,PF2WGKSQ,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402460,PF2WGKT9,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402461,PF2WGKS3,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402462,PF2WGF11,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402463,PF2W3QNS,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402464,PF2WG89F,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402465,PF2WGKSR,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402466,PF2WGEZY,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402467,PF2WG61A,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402468,PF2WGW15,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402469,PF2WGVZE,Lenovo,100e 2nd Gen Intel,ZU,1,,
,,402470,PF2WG8DL,Lenovo,100e 2nd Gen Intel,ZU,1,,