AutoID,Student_Number,ITR,Serial,Make,Part_Number,Grp,Status,Checked_in,Check_out
1,,35962,5CD9092RLQ,HP,11A G6,ZU,1,,
2,,35963,5CD9092R5F,HP,11A G6,ZU,1,,
3,,35964,5CD9092RWQ,HP,11A G6,ZU,1,,
4,,35965,5CD9092R7X,HP,11A G6,ZU,1,,
5,,35966,5CD9092RJV,HP,11A G6,ZU,1,,
6,,35967,5CD9092R9L,HP,11A G6,ZU,1,,
7,,35968,5CD9092R9C,HP,11A G6,ZU,1,,
8,,35969,5CD9092RLJ,HP,11A G6,ZU,1,,
9,,35971,5CD9092R3X,HP,11A G6,ZU,1,,
10,,35973,5CD9092T68,HP,11A G6,ZU,1,,
11,,35974,5CD9092QVR,HP,11A G6,ZU,1,,
12,,35975,5CD9092RKL,HP,11A G6,ZU,1,,
13,,35978,5CD9093FHH,HP,11A G6,ZU,1,,
14,,35979,5CD9092TBR,HP,11A G6,ZU,1,,
15,,35980,5CD9092RFK,HP,11A G6,ZU,1,,
16,,35981,5CD9092RL0,HP,11A G6,ZU,1,,
17,,35984,5CD9092T1Z,HP,11A G6,ZU,1,,
18,,35985,5CD9092RDQ,HP,11A G6,ZU,1,,
19,,35989,5CD9092QX7,HP,11A G6,ZU,1,,
20,,35997,5CD9092R2S,HP,11A G6,ZU,1,,
21,,35998,5CD9092RFL,HP,11A G6,ZU,1,,
22,,35999,5CD9092RW8,HP,11A G6,ZU,1,,
23,,36011,5CD9092RC5,HP,11A G6,ZU,1,,
24,,36017,5CD9092R7F,HP,11A G6,ZU,1,,
25,,36018,5CD9092S9H,HP,11A G6,ZU,1,,
26,,36019,5CD9092RFC,HP,11A G6,ZU,1,,
27,,36025,5CD9092R4P,HP,11A G6,ZU,1,,
28,,36026,5CD9092RM9,HP,11A G6,ZU,1,,
29,,36027,5CD9092RLS,HP,11A G6,ZU,1,,
30,,36031,5CD9092RB8,HP,11A G6,ZU,1,,
31,,36035,5CD9092RFB,HP,11A G6,ZU,1,,
32,,36039,5CD9092RRV,HP,11A G6,ZU,1,,
33,,36040,5CD9092S64,HP,11A G6,ZU,1,,
34,,36071,5CD9095P5K,HP,11A G6,ZU,1,,
35,,36072,5CD9095P5J,HP,11A G6,ZU,1,,
36,,36881,5CD91717X0,HP,11A G6 v20,ZU,1,,
37,,36890,5CD9170LJ0,HP,11A G6 v20,ZU,1,,
38,,36897,5CD9170M19,HP,11A G6 v20,ZU,1,,
39,,36898,5CD918083D,HP,11A G6 v20,ZU,1,,
40,,36899,5CD9170L08,HP,11A G6 v20,ZU,1,,
41,,36900,5CD9170KP0,HP,11A G6 v20,ZU,1,,
42,,36901,5CD917174D,HP,11A G6 v20,ZU,1,,
43,,36902,5CD91718HY,HP,11A G6 v20,ZU,1,,
44,,36903,5CD9170L3K,HP,11A G6 v20,ZU,1,,
45,,36905,5CD91718GV,HP,11A G6 v20,ZU,1,,
46,,36910,5CD917194B,HP,11A G6 v20,ZU,1,,
47,,36911,5CD9170M5J,HP,11A G6 v20,ZU,1,,
48,,36912,5CD9171BP8,HP,11A G6 v20,ZU,1,,
49,,36913,5CD91716X5,HP,11A G6 v20,ZU,1,,
50,,36914,5CD91718BC,HP,11A G6 v20,ZU,1,,
51,,36915,5CD9170L55,HP,11A G6 v20,ZU,1,,
52,,36916,5CD9170KYJ,HP,11A G6 v20,ZU,1,,
53,,36918,5CD91716XT,HP,11A G6 v20,ZU,1,,
54,,36919,5CD91718SN,HP,11A G6 v20,ZU,1,,
55,,36920,5CD91716YY,HP,11A G6 v20,ZU,1,,
56,,36981,5CD9171731,HP,11A G6 v20,ZU,1,,
57,,36982,5CD917181J,HP,11A G6 v20,ZU,1,,
58,,36983,5CD9171BLX,HP,11A G6 v20,ZU,1,,
59,,36984,5CD91718SW,HP,11A G6 v20,ZU,1,,
60,,36986,5CD91717V9,HP,11A G6 v20,ZU,1,,
61,,36987,5CD9170M5Q,HP,11A G6 v20,ZU,1,,
62,,36988,5CD91719H1,HP,11A G6 v20,ZU,1,,
63,,36989,5CD9171947,HP,11A G6 v20,ZU,1,,
64,,36443,5CD91717HQ,HP,11A G6 v20,ZU,1,,
65,,400184,5CD9413J9Y,HP,11A G6,ZU,1,,
66,,400705,P2098G36,Lenovo,100e 2nd Gen,ZU,1,,
67,,400716,P2098N2R,Lenovo,100e 2nd Gen,ZU,1,,
68,,400770,P2098MDB,Lenovo,100e 2nd Gen,ZU,1,,
69,,400785,P2098MLF,Lenovo,100e 2nd Gen,ZU,1,,
70,,400790,P2098G8L,Lenovo,100e 2nd Gen,ZU,1,,
71,,402421,PF2WG8K6,Lenovo,100e 2nd Gen Intel,ZU,1,,
72,,402422,PF2WFT0W,Lenovo,100e 2nd Gen Intel,ZU,1,,
73,,402423,PF2WG618,Lenovo,100e 2nd Gen Intel,ZU,1,,
74,,402424,PF2WFR7X,Lenovo,100e 2nd Gen Intel,ZU,1,,
75,,402425,PF2WG2RW,Lenovo,100e 2nd Gen Intel,ZU,1,,
76,,402426,PF2WGF0G,Lenovo,100e 2nd Gen Intel,ZU,1,,
77,,402427,PF2WFR6V,Lenovo,100e 2nd Gen Intel,ZU,1,,
78,,402428,PF2WFRA5,Lenovo,100e 2nd Gen Intel,ZU,1,,
79,,402429,PF2W36WV,Lenovo,100e 2nd Gen Intel,ZU,1,,
80,,402430,PF2WGNKD,Lenovo,100e 2nd Gen Intel,ZU,1,,
81,,402431,PF2W3FXH,Lenovo,100e 2nd Gen Intel,ZU,1,,
82,,402432,PF2W3AZ6,Lenovo,100e 2nd Gen Intel,ZU,1,,
83,,402433,PF2WH4PP,Lenovo,100e 2nd Gen Intel,ZU,1,,
84,,402434,PF2W3CZ5,Lenovo,100e 2nd Gen Intel,ZU,1,,
85,,402435,PF2W3G1Q,Lenovo,100e 2nd Gen Intel,ZU,1,,
86,,402436,PF2WG2TB,Lenovo,100e 2nd Gen Intel,ZU,1,,
87,,402437,PF2WGDGH,Lenovo,100e 2nd Gen Intel,ZU,1,,
88,,402438,PF2WFP2S,Lenovo,100e 2nd Gen Intel,ZU,1,,
89,,402439,PF2WGKRF,Lenovo,100e 2nd Gen Intel,ZU,1,,
90,,402440,PF2WFP42,Lenovo,100e 2nd Gen Intel,ZU,1,,
91,,402441,PF2W36YT,Lenovo,100e 2nd Gen Intel,ZU,1,,
92,,402442,PF2WFR8H,Lenovo,100e 2nd Gen Intel,ZU,1,,
93,,402443,PF2WG8DX,Lenovo,100e 2nd Gen Intel,ZU,1,,
94,,402444,PF2W3G09,Lenovo,100e 2nd Gen Intel,ZU,1,,
95,,402445,PF2WGF1H,Lenovo,100e 2nd Gen Intel,ZU,1,,
96,,402446,PF2WGDD5,Lenovo,100e 2nd Gen Intel,ZU,1,,
97,,402447,PF2WG5ZM,Lenovo,100e 2nd Gen Intel,ZU,1,,
98,,402448,PF2WGZJX,Lenovo,100e 2nd Gen Intel,ZU,1,,
99,,402449,PF2WGNVP,Lenovo,100e 2nd Gen Intel,ZU,1,,
100,,402450,PF2WGNJF,Lenovo,100e 2nd Gen Intel,ZU,1,,
101,,402451,PF2WGZJD,Lenovo,100e 2nd Gen Intel,ZU,1,,
102,,402452,PF2WG4A4,Lenovo,100e 2nd Gen Intel,ZU,1,,
103,,402453,PF2WG871,Lenovo,100e 2nd Gen Intel,ZU,1,,
104,,402454,PF2WG89G,Lenovo,100e 2nd Gen Intel,ZU,1,,
105,,402455,PF2WFZR4,Lenovo,100e 2nd Gen Intel,ZU,1,,
106,,402456,PF2WGKR9,Lenovo,100e 2nd Gen Intel,ZU,1,,
107,,402457,PF2WGNHY,Lenovo,100e 2nd Gen Intel,ZU,1,,
108,,402458,PF2WH3V8,Lenovo,100e 2nd Gen Intel,ZU,1,,
109,,402459,PF2WGKSQ,Lenovo,100e 2nd Gen Intel,ZU,1,,
110,,402460,PF2WGKT9,Lenovo,100e 2nd Gen Intel,ZU,1,,
111,,402461,PF2WGKS3,Lenovo,100e 2nd Gen Intel,ZU,1,,
112,,402462,PF2WGF11,Lenovo,100e 2nd Gen Intel,ZU,1,,
113,,402463,PF2W3QNS,Lenovo,100e 2nd Gen Intel,ZU,1,,
114,,402464,PF2WG89F,Lenovo,100e 2nd Gen Intel,ZU,1,,
115,,402465,PF2WGKSR,Lenovo,100e 2nd Gen Intel,ZU,1,,
116,,402466,PF2WGEZY,Lenovo,100e 2nd Gen Intel,ZU,1,,
117,,402467,PF2WG61A,Lenovo,100e 2nd Gen Intel,ZU,1,,
118,,402468,PF2WGW15,Lenovo,100e 2nd Gen Intel,ZU,1,,
119,,402469,PF2WGVZE,Lenovo,100e 2nd Gen Intel,ZU,1,,
120,,402470,PF2WG8DL,Lenovo,100e 2nd Gen Intel,ZU,1,,